Ford-Fulkerson-BFS(macierz,99%)
2;3,379000;
4;9,639000;
6;73,622000;
8;197,643000;
10;420,748000;
12;795,975000;
14;1202,942000;
16;1666,220000;
18;2546,257000;
20;3369,229000;
