Ford-Fulkerson-DFS(lista,99%)
2;1,247000;
4;19,531000;
6;122,719000;
8;316,372000;
10;772,913000;
12;1744,840000;
14;2862,993000;
16;5535,191000;
18;7477,522000;
20;11068,327000;
