Ford-Fulkerson-DFS(lista,75%)
2;1,653000;
4;19,406000;
6;79,244000;
8;236,708000;
10;652,962000;
12;1261,943000;
14;2403,218000;
16;4105,891000;
18;6919,143000;
20;9568,382000;
