Ford-Fulkerson-DFS(macierz,75%)
2;3,716000;
4;7,512000;
6;62,900000;
8;125,823000;
10;346,729000;
12;669,611000;
14;1285,906000;
16;2024,455000;
18;3177,079000;
20;4951,216000;
