Ford-Fulkerson-BFS(lista,50%)
2;2,287000;
4;8,102000;
6;34,275000;
8;94,696000;
10;172,486000;
12;329,131000;
14;542,447000;
16;946,058000;
18;1170,285000;
20;1689,022000;
