Ford-Fulkerson-BFS(macierz,25%)
2;4,283000;
4;5,935000;
6;25,121000;
8;34,385000;
10;94,056000;
12;183,388000;
14;306,718000;
16;509,050000;
18;1006,037000;
20;1303,019000;
