Ford-Fulkerson-DFS(lista,50%)
2;2,517000;
4;10,462000;
6;43,723000;
8;160,684000;
10;389,980000;
12;804,325000;
14;1540,529000;
16;2816,374000;
18;5508,692000;
20;8751,977000;
