Ford-Fulkerson-BFS(macierz,75%)
2;4,330000;
4;9,923000;
6;73,176000;
8;200,077000;
10;370,000000;
12;620,056000;
14;1044,584000;
16;1496,465000;
18;2227,343000;
20;2856,850000;
