Ford-Fulkerson-BFS(macierz,50%)
2;4,189000;
4;9,183000;
6;38,908000;
8;96,995000;
10;250,978000;
12;531,170000;
14;745,322000;
16;1215,302000;
18;1609,940000;
20;2207,367000;
