Ford-Fulkerson-BFS(lista,99%)
2;1,907000;
4;13,262000;
6;68,711000;
8;174,886000;
10;344,195000;
12;510,553000;
14;819,381000;
16;1308,533000;
18;1790,280000;
20;2541,833000;
