Ford-Fulkerson-DFS(macierz,99%)
2;3,098000;
4;9,970000;
6;50,323000;
8;139,425000;
10;363,297000;
12;725,597000;
14;1089,534000;
16;2000,500000;
18;3460,053000;
20;5102,711000;
