Ford-Fulkerson-DFS(lista,25%)
2;1,347000;
4;9,003000;
6;27,056000;
8;43,508000;
10;95,685000;
12;200,554000;
14;334,225000;
16;741,104000;
18;1174,834000;
20;2386,044000;
