Ford-Fulkerson-BFS(lista,75%)
2;1,150000;
4;11,853000;
6;52,122000;
8;137,631000;
10;261,948000;
12;620,657000;
14;746,491000;
16;1176,423000;
18;1656,657000;
20;2152,672000;
