Ford-Fulkerson-DFS(macierz,50%)
2;3,568000;
4;7,207000;
6;29,885000;
8;69,081000;
10;218,947000;
12;524,011000;
14;890,824000;
16;1548,254000;
18;2518,539000;
20;4289,337000;
