Ford-Fulkerson-BFS(lista,25%)
2;1,770000;
4;5,349000;
6;23,702000;
8;46,215000;
10;89,747000;
12;132,136000;
14;226,804000;
16;365,575000;
18;546,525000;
20;834,386000;
